Puzzle ID,Difficulty,Solved,Path Length,Time (s),Issues
598f03a76e659bbd,3,FAIL,14,12.40,rules
a8ea92dd47f4186b,2,FAIL,24,14.74,rules
a305fe218d16e612,4,FAIL,10,11.16,rules
d58e426a05bbebe0,4,FAIL,18,12.38,"disconnected, rules"
95baf8b98ab6874,5,FAIL,17,21.06,rules
d72e6e1a7317b676,4,FAIL,6,23.73,None
b2888d9633744522,3,FAIL,21,14.80,rules
fb69acc1bff1c7b5,2,FAIL,5,18.25,None
1b23ec5dcd81c575,2,FAIL,21,16.30,rules
dedb9695c830d9a1,5,FAIL,13,13.15,rules
94e6829bc5fe599b,4,FAIL,51,20.98,"start/end, intersecting, rules"
7f61e30cde11dfd2,5,FAIL,18,11.14,rules
ac07176ade6d4fcc,2,FAIL,35,28.27,"intersecting, rules"
aecb916b87a88a32,3,FAIL,20,19.70,"intersecting, rules"
6a3a112c0f2e831b,5,FAIL,13,12.00,None
e836ae53a1a6b880,5,FAIL,12,14.41,rules
58d9c6f1f97d78c1,2,FAIL,27,21.69,"intersecting, rules"
10bea253035c791c,2,FAIL,11,16.35,rules
5569f16359d15a33,5,FAIL,93,28.87,rules
d4af13ed1d455209,1,FAIL,10,16.20,rules
4efa50053369c63c,3,FAIL,8,14.99,None
4088920d22fbc15a,2,FAIL,13,11.69,rules
9ecc1e98360e6c0d,3,FAIL,60,16.65,"disconnected, rules"
8b47902d43ed5c7,3,FAIL,17,12.19,"disconnected, rules"
6911f7c1419318bb,4,FAIL,26,14.78,"disconnected, rules"
ed62498f9a7cf7a5,4,FAIL,14,15.27,rules
4b518615758126ef,3,FAIL,9,14.02,rules
a2a967199664a80,4,FAIL,36,15.14,"intersecting, rules"
93c544fa7b73dc1a,4,FAIL,9,21.41,rules
b54da7bdff2713e1,2,FAIL,29,18.05,"intersecting, rules"
2c5ddc804e5b35ba,1,FAIL,13,14.71,rules
241a28965ab741d,1,FAIL,3,16.93,None
4a5c32111bf61aae,5,FAIL,47,15.15,"intersecting, rules"
65171c970b77339e,2,FAIL,4,17.77,None
70c971586d6ab721,1,FAIL,13,13.70,rules
dd196820fff0f585,2,FAIL,8,12.69,rules
683d3d2b64d8d1fb,4,FAIL,24,16.30,rules
3ca9fa7e19e2188c,4,FAIL,21,10.80,"intersecting, rules"
581706995f65f93d,5,FAIL,2,17.78,None
8f5dd8ca7b23f826,4,FAIL,2,15.18,None
4c6a9d610b717d17,3,FAIL,17,15.49,None
f701ba6827f8ceff,2,FAIL,24,15.67,"disconnected, intersecting, rules"
24dd9a735b612dc1,3,FAIL,11,15.45,rules
138e21433d2e6a52,2,FAIL,17,11.18,rules
72a1fec5c73b6560,4,FAIL,17,13.59,"intersecting, rules"
86c16115d5cda6a0,5,FAIL,50,23.38,"intersecting, rules"
2790e863a5831db9,3,FAIL,15,10.57,start/end
ab298046d34718be,5,FAIL,15,17.00,"disconnected, rules"
ad8274727f965b1c,1,FAIL,31,15.67,rules
a722e79130881da0,2,FAIL,15,13.62,rules
9435f4bc2b1cf34d,1,FAIL,7,15.31,"intersecting, rules"
2e4b26ec1c401cbe,4,FAIL,15,12.54,"start/end, rules"
8b308dfba88e4ac,3,FAIL,26,20.51,"intersecting, rules"
701d6d1daff25a25,2,FAIL,15,16.04,rules
f42b8d86bfb89096,1,FAIL,29,16.44,disconnected
c4341ab9fd5c439c,1,FAIL,10,15.29,disconnected
97be11048bb04a30,3,FAIL,18,18.76,rules
7f403db698db059f,1,FAIL,10,10.88,rules
9e892fbdd6f4c4a9,2,FAIL,7,13.05,"start/end, rules"
b7672ba95aff4ff6,5,FAIL,43,24.23,"intersecting, rules"
e0e6857dd441101b,2,FAIL,11,10.77,None
a12c7a055e6395a2,2,FAIL,11,16.37,rules
e8f814f726cb4612,5,FAIL,10,14.93,rules
fc19c4a5e89d29f4,4,FAIL,33,18.99,None
4ec9d16a5a573d4e,2,FAIL,2,10.59,None
8bbb1046d8c49095,1,FAIL,3,13.09,None
8e231f18dc7d476f,5,FAIL,18,14.63,rules
50ed62dcb0f1bce3,4,FAIL,31,17.14,"intersecting, rules"
154515f7b4e4fe2b,2,PASS,3,10.10,None
1a43bd0f8e35bd1d,2,FAIL,29,16.87,"disconnected, rules"
